gene_index	gene_id	is_ensembl
497	Gm19589	False
498	Arl4c	False
499	2410088K16Rik	False
500	1700067G17Rik	False
501	Sh3bp4	False
502	Agap1	False
503	4933400F21Rik	False
504	Gbx2	False
505	Asb18	False
506	Iqca	False
507	Cxcr7	False
508	Cops8	False
509	Col6a3	False
510	Mlph	False
511	Prlh	False
512	Rab17	False
513	Lrrfip1	False
514	Rbm44	False
515	Ramp1	False
516	Ube2f	False
517	Scly	False
518	Espnl	False
519	Klhl30	False
520	Fam132b	False
521	Ilkap	False
522	1700020N18Rik	False
523	Hes6	False
524	Per2	False
525	Traf3ip1	False
526	Asb1	False
527	Twist2	False
528	Hdac4	False
529	Ndufa10	False
530	Myeov2	False
531	Otos	False
532	Gpc1	False
533	Ankmy1	False
534	Dusp28	False
535	Rnpepl1	False
536	9430060I03Rik	False
537	Capn10	False
538	Gpr35	False
539	Aqp12	False
540	Kif1a	False
541	Agxt	False
542	2310007B03Rik	False
543	Sned1	False
544	Mterfd2	False
545	Pask	False
546	Ppp1r7	False
547	Ano7	False
548	Hdlbp	False
549	Sept2	False
550	Farp2	False
551	Stk25	False
552	Bok	False
553	Thap4	False
554	Atg4b	False
555	Dtymk	False
556	Ing5	False
557	D2hgdh	False
558	Gal3st2	False
559	Gm6086	False
560	Neu4	False
561	Pdcd1	False
562	4930440C22Rik	False
563	Fam174a	False
564	St8sia4	False
565	4930598F16Rik	False
566	Slco4c1	False
567	D1Ertd622e	False
568	Ppip5k2	False
569	Gin1	False
570	Pam	False
571	B230216N24Rik	False
572	1810006J02Rik	False
573	Cntnap5b	False
574	Cdh20	False
575	Rnf152	False
576	Pign	False
577	2310035C23Rik	False
578	Tnfrsf11a	False
579	Zcchc2	False
580	LOC626049	False
581	Phlpp1	False
582	Bcl2	False
583	Kdsr	False
584	Vps4b	False
585	Serpinb5	False
586	Serpinb12	False
587	Serpinb13	False
588	Serpinb3a	False
589	Serpinb3d	False
590	Serpinb3b	False
591	Serpinb3c	False
592	Serpinb11	False
593	Serpinb7	False
594	Serpinb2	False
595	Serpinb10-ps	False
596	Serpinb8	False
597	Cdh7	False
598	Cdh19	False
599	Dsel	False
600	Cntnap5a	False
601	Tsn	False
602	Mki67ip	False
603	Clasp1	False
604	2900060B14Rik	False
605	Tfcp2l1	False
606	Gli2	False
607	Inhbb	False
608	Ralb	False
609	Tmem185b	False
610	Epb4.1l5	False
611	Ptpn4	False
612	Tmem177	False
613	Gm101	False
614	Sctr	False
615	Tmem37	False
616	Dbi	False
617	3110009E18Rik	False
618	Steap3	False
619	C1ql2	False
620	Marco	False
621	En1	False
622	B230209K01Rik	False
623	Insig2	False
624	Ccdc93	False
625	Htr5b	False
626	Ddx18	False
627	Dpp10	False
628	Actr3	False
629	Slc35f5	False
630	Gpr39	False
631	Lypd1	False
632	Nckap5	False
633	Mgat5	False
634	Tmem163	False
635	Acmsd	False
636	2900009J06Rik	False
637	Ccnt2	False
638	Ysk4	False
639	Rab3gap1	False
640	Zranb3	False
641	R3hdm1	False
642	Ubxn4	False
643	Lct	False
644	Mcm6	False
645	Dars	False
646	Cxcr4	False
647	Thsd7b	False
648	Daf2	False
649	Cd55	False
650	Zp3r	False
651	C4bp	False
652	C4bp-ps1	False
653	Pfkfb2	False
654	Yod1	False
655	AA986860	False
656	Fcamr	False
657	Pigr	False
658	Faim3	False
659	Il24	False
660	Il20	False
661	Il19	False
662	Il10	False
663	Mapkapk2	False
664	Dyrk3	False
665	Eif2d	False
666	Rassf5	False
667	Ikbke	False
668	Srgap2	False
669	Fam72a	False
